Q1,Q2,Q3,Q4,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
0.970151,-0.146394,-0.17421,-0.083827,1.57,2.08,1.5,1.67,1.37,1.15,2.29,1.81,1.51,1.79
0.969109,-0.146654,-0.176019,-0.091311,1.57,2.08,1.5,1.67,1.37,1.15,2.29,1.82,1.51,1.79
0.968288,-0.147044,-0.177664,-0.096088,1.57,2.08,1.5,1.67,1.36,1.14,2.29,1.81,1.51,1.79
0.967088,-0.147884,-0.179444,-0.103301,1.57,2.08,1.5,1.67,1.36,1.14,2.29,1.82,1.51,1.79
0.965674,-0.149034,-0.181125,-0.111606,1.57,2.08,1.5,1.68,1.35,1.14,2.29,1.82,1.51,1.78
0.964825,-0.149556,-0.181485,-0.117511,1.56,2.08,1.5,1.67,1.34,1.14,2.29,1.81,1.51,1.78
0.962215,-0.152733,-0.183954,-0.130295,1.56,2.08,1.49,1.67,1.33,1.14,2.29,1.81,1.51,1.78
0.960127,-0.156059,-0.186187,-0.13833,1.56,2.08,1.49,1.67,1.32,1.14,2.3,1.81,1.51,1.78
0.957223,-0.158785,-0.189318,-0.150566,1.56,2.08,1.48,1.67,1.31,1.14,2.3,1.81,1.51,1.77
0.955006,-0.160046,-0.191336,-0.160433,1.56,2.08,1.48,1.67,1.3,1.14,2.3,1.81,1.51,1.77
0.952435,-0.16103,-0.193596,-0.171633,1.56,2.08,1.47,1.67,1.28,1.13,2.3,1.8,1.51,1.77
0.950593,-0.162141,-0.195161,-0.178871,1.56,2.08,1.47,1.67,1.28,1.13,2.3,1.81,1.52,1.76
0.947935,-0.16371,-0.19715,-0.189078,1.55,2.08,1.46,1.67,1.27,1.13,2.3,1.81,1.51,1.76
0.945691,-0.164998,-0.198972,-0.197114,1.55,2.08,1.46,1.67,1.26,1.13,2.3,1.8,1.51,1.76
0.943261,-0.166787,-0.20109,-0.204947,1.55,2.09,1.46,1.67,1.25,1.13,2.3,1.8,1.52,1.75
0.940214,-0.168636,-0.203556,-0.214766,1.55,2.09,1.45,1.67,1.25,1.13,2.3,1.8,1.52,1.75
0.937283,-0.170726,-0.206628,-0.222841,1.55,2.09,1.45,1.67,1.24,1.13,2.3,1.8,1.52,1.75
0.934285,-0.172994,-0.209729,-0.230647,1.54,2.09,1.45,1.67,1.23,1.12,2.3,1.8,1.52,1.75
0.930212,-0.17534,-0.213897,-0.241266,1.54,2.09,1.45,1.67,1.22,1.12,2.31,1.8,1.52,1.74
0.928388,-0.176249,-0.215947,-0.245762,1.54,2.09,1.44,1.67,1.22,1.12,2.31,1.8,1.52,1.74
0.924743,-0.178248,-0.219633,-0.254637,1.54,2.09,1.44,1.67,1.21,1.12,2.31,1.8,1.52,1.73
0.921677,-0.17993,-0.22238,-0.262078,1.54,2.1,1.43,1.67,1.21,1.12,2.31,1.8,1.52,1.73
0.917888,-0.18153,-0.225657,-0.271307,1.53,2.1,1.43,1.66,1.19,1.12,2.31,1.8,1.52,1.73
0.914423,-0.183343,-0.229104,-0.278795,1.53,2.1,1.43,1.66,1.18,1.12,2.31,1.8,1.52,1.73
0.909972,-0.184906,-0.233356,-0.288628,1.52,2.1,1.42,1.66,1.18,1.11,2.31,1.8,1.52,1.72
0.908276,-0.185289,-0.234727,-0.292586,1.52,2.1,1.42,1.66,1.17,1.11,2.31,1.79,1.52,1.72
0.905169,-0.185915,-0.237582,-0.299431,1.51,2.1,1.42,1.66,1.16,1.11,2.31,1.79,1.52,1.72
0.901873,-0.187149,-0.24104,-0.305779,1.51,2.1,1.41,1.66,1.16,1.1,2.31,1.79,1.52,1.72
